num_rides,start_station_id,start_lat,start_lon,avg_duration,the_geom
715,3004,39.95378,-75.16374,3004,0101000020E6100000034356B77ACA52C019CA897615FA4340
367,3005,39.94733,-75.14403,3051,0101000020E610000025E99AC937C952C08542041C42F94340
699,3006,39.9522,-75.20311,3556,0101000020E610000065DF15C1FFCC52C027A089B0E1F94340
629,3007,39.94517,-75.15993,2494,0101000020E61000008EE9094B3CCA52C085949F54FBF84340
193,3008,39.98078,-75.15055,2021,0101000020E61000006B9A779CA2C952C01349F4328AFD4340
762,3009,39.95576,-75.18982,2929,0101000020E61000001C08C90226CC52C09869FB5756FA4340
1094,3010,39.94711,-75.16618,2292,0101000020E6100000F44F70B1A2CA52C077DB85E63AF94340
391,3011,39.96046,-75.19701,1910,0101000020E61000000ABFD4CF9BCC52C0DE8E705AF0FA4340
573,3012,39.94218,-75.17747,2160,0101000020E61000005A8121AB5BCB52C0FF78AF5A99F84340
154,3013,39.96317,-75.14792,2426,0101000020E6100000289B728577C952C0813E912749FB4340
673,3014,39.95886,-75.17369,3359,0101000020E61000001A69A9BC1DCB52C0A6B8AAECBBFA4340
360,3015,39.94735,-75.14886,2294,0101000020E6100000AFEB17EC86C952C0CCEEC9C342F94340
59,3016,39.96892,-75.15470,1390,0101000020E61000003D2CD49AE6C952C05C38109205FC4340
132,3017,39.98003,-75.14371,3007,0101000020E6100000EC866D8B32C952C0A88C7F9F71FD4340
665,3018,39.95273,-75.15979,3438,0101000020E6100000950ED6FF39CA52C084F57F0EF3F94340
239,3019,39.95403,-75.14983,2179,0101000020E61000006B7D91D096C952C092B3B0A71DFA4340
476,3020,39.94887,-75.18986,2003,0101000020E610000063B48EAA26CC52C0E813799274F94340
1089,3021,39.9539,-75.16902,2614,0101000020E6100000AD174339D1CA52C0C3D32B6519FA4340
915,3022,39.95472,-75.18323,2750,0101000020E61000005969520ABACB52C0276BD44334FA4340
1461,3023,39.95048,-75.17286,3260,0101000020E610000057B2632310CB52C044C02154A9F94340
538,3024,39.94822,-75.20908,2978,0101000020E6100000DA8F149161CD52C0E1B4E0455FF94340
263,3025,39.93724,-75.16120,2100,0101000020E61000005F07CE1951CA52C06440F67AF7F74340
689,3026,39.94138,-75.14564,3044,0101000020E6100000533F6F2A52C952C0E38DCC237FF84340
241,3027,39.95708,-75.20177,2278,0101000020E610000017D4B7CCE9CC52C0EDD3F19881FA4340
678,3028,39.94061,-75.14958,2072,0101000020E6100000AF08FEB792C952C0312592E865F84340
728,3029,39.9538,-75.19479,2992,0101000020E61000009FE5797077CC52C060764F1E16FA4340
446,3030,39.93935,-75.15716,2008,0101000020E6100000520FD1E80ECA52C0B1BFEC9E3CF84340
500,3031,39.98005,-75.15522,2889,0101000020E6100000D9EBDD1FEFC952C0EF38454772FD4340
945,3032,39.94527,-75.17971,3026,0101000020E6100000E8305F5E80CB52C0E9F17B9BFEF84340
320,3033,39.95005,-75.15672,1993,0101000020E610000044A852B307CA52C04BC8073D9BF94340
360,3034,39.93315,-75.16248,2256,0101000020E61000004390831266CA52C096218E7571F74340
282,3035,39.96271,-75.19419,2446,0101000020E610000075CDE49B6DCC52C01EC4CE143AFB4340
220,3036,39.96844,-75.14001,2987,0101000020E61000003BC780ECF5C852C0B21188D7F5FB4340
704,3037,39.95424,-75.16138,2054,0101000020E61000009F8EC70C54CA52C07C444C8924FA4340
201,3038,39.94781,-75.19409,1896,0101000020E6100000C39E76F86BCC52C02F698CD651F94340
252,3039,39.97121,-75.15970,2140,0101000020E6100000F54A598638CA52C02AC6F99B50FC4340
498,3040,39.96289,-75.16606,2362,0101000020E61000001F4B1FBAA0CA52C09ED2C1FA3FFB4340
411,3041,39.96849,-75.13546,2719,0101000020E6100000A27A6B60ABC852C06440F67AF7FB4340
637,3043,39.93082,-75.17474,2286,0101000020E61000006553AEF02ECB52C03A3B191C25F74340
796,3045,39.94792,-75.16237,2549,0101000020E61000007FF6234564CA52C0B79C4B7155F94340
574,3046,39.95012,-75.14472,3006,0101000020E6100000F0C4AC1743C952C044A33B889DF94340
840,3047,39.95071,-75.14921,3260,0101000020E61000001D8F19A88CC952C076FD82DDB0F94340
1056,3049,39.94509,-75.14250,4291,0101000020E610000085EB51B81EC952C069E388B5F8F84340
516,3050,39.95339,-75.15426,2763,0101000020E61000002EC55565DFC952C0AE2AFBAE08FA4340
696,3051,39.96744,-75.17507,3194,0101000020E6100000B020CD5834CB52C0CF6BEC12D5FB4340
705,3052,39.94732,-75.15695,1587,0101000020E6100000DC4603780BCA52C0616C21C841F94340
814,3053,39.93231,-75.18154,2575,0101000020E61000009DBAF2599ECB52C0ECDD1FEF55F74340
531,3054,39.9625,-75.17420,2864,0101000020E6100000A5BDC11726CB52C03333333333FB4340
333,3055,39.95112,-75.15457,2715,0101000020E610000056BC9179E4C952C02849D74CBEF94340
574,3056,39.97669,-75.15813,2971,0101000020E61000000EA14ACD1ECA52C0452A8C2D04FD4340
3551,3057,39.96442,-75.17999,3424,0101000020E6100000DAE6C6F484CB52C0DDCD531D72FB4340
653,3058,39.96716,-75.17001,2944,0101000020E61000008D7F9F71E1CA52C0EBFF1CE6CBFB4340
375,3059,39.96265,-75.16174,3082,0101000020E61000001F9DBAF259CA52C048BF7D1D38FB4340
338,3060,39.95923,-75.17036,3071,0101000020E6100000FB22A12DE7CA52C0C9AB730CC8FA4340
700,3061,39.95425,-75.17761,3527,0101000020E6100000535C55F65DCB52C0A01A2FDD24FA4340
756,3062,39.95197,-75.17943,3456,0101000020E6100000F67AF7C77BCB52C0F6622827DAF94340
590,3063,39.94633,-75.16980,2351,0101000020E610000017B7D100DECA52C0A29C685721F94340
313,3064,39.9384,-75.17327,2910,0101000020E610000030D80DDB16CB52C08048BF7D1DF84340
52,3065,39.9707,-75.15171,1392,0101000020E6100000791EDC9DB5C952C0151DC9E53FFC4340
498,3066,39.94561,-75.17348,2069,0101000020E6100000A5A0DB4B1ACB52C0A2629CBF09F94340
363,3067,39.96411,-75.19973,1933,0101000020E6100000ED815660C8CC52C08FDFDBF467FB4340
389,3068,39.93549,-75.16711,2410,0101000020E6100000693524EEB1CA52C016DEE522BEF74340
565,3069,39.93704,-75.15038,2388,0101000020E61000003D7E6FD39FC952C09D853DEDF0F74340
257,3070,39.96062,-75.13983,2584,0101000020E6100000FB3F87F9F2C852C017F19D98F5FA4340
494,3071,39.96173,-75.18788,3205,0101000020E6100000A4E4D53906CC52C082CAF8F719FB4340
258,3072,39.93445,-75.14541,2882,0101000020E6100000BAA0BE654EC952C0A4DFBE0E9CF74340
260,3073,39.96143,-75.15242,2660,0101000020E610000068D0D03FC1C952C057B2632310FB4340
329,3074,39.95511,-75.20987,2938,0101000020E6100000569A94826ECD52C0910A630B41FA4340
313,3075,39.96718,-75.16125,1744,0101000020E6100000B81E85EB51CA52C032ACE28DCCFB4340
230,3077,39.97207,-75.16351,1402,0101000020E61000006AA4A5F276CA52C01CB62DCA6CFC4340
88,3078,39.95355,-75.17192,1888,0101000020E6100000D061BEBC00CB52C0E78C28ED0DFA4340
254,3086,39.94019,-75.16691,2120,0101000020E610000006D847A7AECA52C05C035B2558F84340
165,3088,39.96984,-75.14180,1956,0101000020E6100000A9A44E4013C952C0232D95B723FC4340
506,3093,39.98837,-75.18701,3049,0101000020E61000009981CAF8F7CB52C07C2C7DE882FE4340
579,3095,39.98771,-75.18052,2989,0101000020E61000008811C2A38DCB52C051F701486DFE4340
412,3096,39.99119,-75.17975,4339,0101000020E61000002FDD240681CB52C0A60F5D50DFFE4340
169,3097,39.97888,-75.13339,3493,0101000020E610000043E7357689C852C0AF5A99F04BFD4340
167,3098,39.93431,-75.16042,2508,0101000020E6100000F5673F5244CA52C0B329577897F74340
234,3099,39.93401,-75.15094,2500,0101000020E610000021EA3E00A9C952C08811C2A38DF74340
399,3100,39.92777,-75.15103,2248,0101000020E6100000C1ADBB79AAC952C0DF1AD82AC1F64340
493,3101,39.94295,-75.15955,2381,0101000020E6100000EA04341136CA52C0B1E1E995B2F84340
708,3102,39.96818,-75.18034,3693,0101000020E6100000488AC8B08ACB52C015527E52EDFB4340
118,3103,39.97714,-75.17940,3708,0101000020E6100000C139234A7BCB52C085CE6BEC12FD4340
51,3104,39.96664,-75.19209,2896,0101000020E6100000DFF8DA334BCC52C0B28009DCBAFB4340
182,3105,39.96652,-75.12996,2240,0101000020E61000007172BF4351C852C0087767EDB6FB4340
425,3106,39.99179,-75.18637,3288,0101000020E610000027BD6F7CEDCB52C0FB3F87F9F2FE4340
159,3107,39.98203,-75.18866,3578,0101000020E61000000E84640113CC52C06FD8B628B3FD4340
539,3108,39.95316,-75.16551,2608,0101000020E61000004D4A41B797CA52C07CED992501FA4340
188,3109,39.97486,-75.20524,2497,0101000020E610000030F5F3A622CD52C0DB166536C8FC4340
333,3110,39.96175,-75.13641,2289,0101000020E61000003B3602F1BAC852C0C976BE9F1AFB4340
296,3111,39.97804,-75.21220,3101,0101000020E6100000840D4FAF94CD52C005172B6A30FD4340
244,3112,39.95373,-75.21825,2623,0101000020E61000008716D9CEF7CD52C0679B1BD313FA4340
78,3113,39.97469,-75.19562,2378,0101000020E6100000639CBF0985CC52C07FDE54A4C2FC4340
226,3114,39.93775,-75.18012,2422,0101000020E6100000C156091687CB52C079E9263108F84340
157,3115,39.97263,-75.16757,2510,0101000020E61000009B728577B9CA52C0E38DCC237FFC4340
49,3117,39.97841,-75.22399,1913,0101000020E6100000632827DA55CE52C0280AF4893CFD4340
169,3118,39.95866,-75.21323,2483,0101000020E6100000AB21718FA5CD52C0DFFDF15EB5FA4340
169,3119,39.96674,-75.20799,3993,0101000020E610000048F949B54FCD52C016DEE522BEFB4340
322,3120,39.97522,-75.18669,3585,0101000020E6100000601F9DBAF2CB52C0DB334B02D4FC4340
177,3121,39.97274,-75.17939,3020,0101000020E6100000AFCE31207BCB52C06AC18BBE82FC4340
236,3122,39.98062,-75.17350,4135,0101000020E6100000C976BE9F1ACB52C0DAE6C6F484FD4340
210,3123,39.98004,-75.17088,3053,0101000020E610000097E2AAB2EFCA52C0CC6262F371FD4340
694,3124,39.95295,-75.13979,3642,0101000020E6100000B493C151F2C852C0925CFE43FAF94340
360,3125,39.94391,-75.16735,2981,0101000020E6100000143FC6DCB5CA52C0062FFA0AD2F84340
80,3129,39.94681,-75.19311,1796,0101000020E6100000F5A10BEA5BCC52C04CC3F01131F94340
